,id,name,year,rank_year,artists,primary_artist_id,artist_image,artist_genres,duration,explicit,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_ids
0,6kvoHl80mfCVTv7XnZkjQn,"It Must Have Been Love - From the Film ""Pretty Woman""",1990,1,['Roxette'],2SHhfs4BiDxGQ3oxqf0UHY,['https://i.scdn.co/image/ab6761610000e5ebf983baaf373ff6c4a215882c'],"['europop', 'new wave pop', 'soft rock', 'swedish pop']",258786,False,74,0.52,0.652,5,-6.655,0.0274,0.34,5.49e-05,0.256,0.722,80.609,['2SHhfs4BiDxGQ3oxqf0UHY']
1,1SKApv6ZfJ9bkUxeRObJEF,Freedom! '90,1990,2,['George Michael'],19ra5tSw0tWufvUp8GotLo,['https://i.scdn.co/image/ab6761610000e5ebc79f565e6a306d3e4b0a4b78'],"['europop', 'soft rock']",388400,False,58,0.676,0.873,5,-7.697,0.044,0.0991,1.44e-05,0.0541,0.818,91.77,['19ra5tSw0tWufvUp8GotLo']
2,3nvuPQTw2zuFAVuLsC9IYQ,Nothing Compares 2 U,1990,3,"[""Sinéad O'Connor""]",4sD9znwiVFx9cgRPZ42aQ1,['https://i.scdn.co/image/01302e48d0723ef0bb11af123826d7016585995d'],"['lilith', 'new wave pop', 'pop rock']",280040,False,72,0.511,0.574,5,-7.016,0.0273,0.0425,2.33e-05,0.105,0.161,119.917,['4sD9znwiVFx9cgRPZ42aQ1']
3,1YnVYHXoak0syv4xBRHQRb,Kingston Town,1990,4,['UB40'],69MEO1AADKg1IZrq2XLzo5,['https://i.scdn.co/image/ab6761610000e5eb1e06f46a5b977ff9f5b690a3'],"['reggae', 'reggae fusion', 'uk reggae']",231733,False,70,0.957,0.226,8,-14.606,0.0594,0.119,0.0358,0.0796,0.768,102.072,['69MEO1AADKg1IZrq2XLzo5']
4,57bgtoPSgt236HzfBOd8kj,Thunderstruck,1990,5,['AC/DC'],711MCceyCBcFnzjGY4Q7Un,['https://i.scdn.co/image/ab6761610000e5ebc4c77549095c86acb4e77b37'],"['australian rock', 'hard rock', 'rock']",292880,False,83,0.502,0.89,4,-5.175,0.0364,0.000147,0.0117,0.217,0.259,133.52,['711MCceyCBcFnzjGY4Q7Un']
5,4VZDv8sASBS8UruUBGTFdk,Hold On,1990,6,['Wilson Phillips'],1yMYjh77WgOVafRkI50mim,['https://i.scdn.co/image/9101beb98984fddaf5f65b6e918370ccea6d11da'],"['girl group', 'new wave pop', 'soft rock']",266866,False,69,0.679,0.657,5,-9.897,0.0255,0.4,0.0,0.0497,0.546,97.8,['1yMYjh77WgOVafRkI50mim']
6,4UQLQJu3DNvVkMVglwElU2,The King of Wishful Thinking,1990,7,['Go West'],7bKupnlF7XOfR1En3K8oAL,['https://i.scdn.co/image/9ec4919593b340858d86eb8617b712b7e81545af'],"['mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",241760,False,64,0.669,0.868,0,-7.377,0.0527,0.033,0.0,0.0991,0.913,107.885,['7bKupnlF7XOfR1En3K8oAL']
7,4ziqqoW1o3P5EhNqK6CPb1,Something Happened on the Way to Heaven - 2016 Remaster,1990,8,['Phil Collins'],4lxfqrEsLX6N1N4OCSkILp,['https://i.scdn.co/image/31fbe64783eb5d493161640bd599dceafc615c6d'],"['mellow gold', 'rock drums', 'soft rock']",291586,False,59,0.656,0.88,5,-4.137,0.0287,0.184,0.00609,0.272,0.88,114.613,['4lxfqrEsLX6N1N4OCSkILp']
8,5YjKdeES9QRJ8NmF4Xc8pV,All I Wanna Do Is Make Love To You,1990,9,['Heart'],34jw2BbxjoYalTp8cJFCPv,['https://i.scdn.co/image/1c145626e516a6817c43e7eab2b1cc3a5a9562a8'],"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'new wave pop', 'rock', 'soft rock']",310893,False,68,0.626,0.746,7,-8.832,0.0282,0.16,0.0,0.0618,0.8,102.896,['34jw2BbxjoYalTp8cJFCPv']
9,6XjGnmIM6rPdslUBUUphVL,Escapade,1990,10,['Janet Jackson'],4qwGe91Bz9K2T8jXTZ815W,['https://i.scdn.co/image/ab6761610000e5eb68ab782284f90f0685619bb7'],"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",283933,False,47,0.804,0.945,1,-7.539,0.0483,0.0226,0.000878,0.171,0.701,115.217,['4qwGe91Bz9K2T8jXTZ815W']
